no,jurusan,nama_mahasiwa,ipk,nama_mahasiswa
2,informatika,mahasiswa 2,3.28,
3,informatika,mahasiswa 3,3.89,
4,sistem informasi,mahasiswa 4,2.91,
5,informatika,mahasiswa 5,3.03,
6,informatika,mahasiswa 6,2.98,
7,informatika,mahasiswa 7,3.52,
8,informatika,mahasiswa 8,3.08,
9,informatika,mahasiswa 9,3.31,
10,informatika,mahasiswa 10,3.07,
11,informatika,mahasiswa 11,2.97,
12,sistem informasi,mahasiswa 12,2.92,
13,sistem informasi,mahasiswa 13,3.52,
14,informatika,mahasiswa 14,2.95,
15,sistem informasi,mahasiswa 15,3.02,
16,sistem informasi,mahasiswa 16,3.21,
17,sistem informasi,mahasiswa 17,3.70,
18,sistem informasi,mahasiswa 18,2.91,
19,sistem informasi,mahasiswa 19,3.72,
20,informatika,mahasiswa 20,2.91,
21,sistem informasi,mahasiswa 21,3.87,
22,informatika,mahasiswa 22,3.32,
23,informatika,mahasiswa 23,3.87,
24,sistem informasi,mahasiswa 24,3.47,
25,sistem informasi,mahasiswa 25,3.61,
26,informatika,mahasiswa 26,2.84,
27,informatika,mahasiswa 27,3.11,
28,informatika,mahasiswa 28,2.93,
29,informatika,mahasiswa 29,3.13,
30,sistem informasi,mahasiswa 30,2.93,
31,informatika,mahasiswa 31,3.15,
32,sistem informasi,mahasiswa 32,3.26,
33,informatika,mahasiswa 33,2.87,
34,sistem informasi,mahasiswa 34,3.56,
35,informatika,mahasiswa 35,3.42,
36,informatika,mahasiswa 36,3.09,
37,sistem informasi,mahasiswa 37,3.38,
38,informatika,mahasiswa 38,2.90,
39,informatika,mahasiswa 39,3.43,
40,sistem informasi,mahasiswa 40,3.82,
41,sistem informasi,mahasiswa 41,3.15,
42,informatika,mahasiswa 42,3.53,
43,sistem informasi,mahasiswa 43,2.94,
44,informatika,mahasiswa 44,3.59,
45,informatika,mahasiswa 45,3.12,
46,informatika,mahasiswa 46,3.00,
47,informatika,mahasiswa 47,3.45,
48,informatika,mahasiswa 48,2.82,
49,sistem informasi,mahasiswa 49,3.71,
50,informatika,mahasiswa 50,2.81,
51,sistem informasi,mahasiswa 51,3.55,
52,informatika,mahasiswa 52,3.10,
53,informatika,mahasiswa 53,3.61,
54,informatika,mahasiswa 54,3.86,
55,informatika,mahasiswa 55,3.07,
56,sistem informasi,mahasiswa 56,3.43,
57,informatika,mahasiswa 57,3.45,
58,sistem informasi,mahasiswa 58,3.43,
59,sistem informasi,mahasiswa 59,3.05,
60,informatika,mahasiswa 60,3.85,
61,informatika,mahasiswa 61,3.29,
62,sistem informasi,mahasiswa 62,3.73,
63,informatika,mahasiswa 63,3.57,
64,sistem informasi,mahasiswa 64,3.13,
65,informatika,mahasiswa 65,3.70,
66,sistem informasi,mahasiswa 66,3.24,
67,sistem informasi,mahasiswa 67,3.77,
68,sistem informasi,mahasiswa 68,3.44,
69,sistem informasi,mahasiswa 69,3.77,
70,sistem informasi,mahasiswa 70,3.56,
71,informatika,mahasiswa 71,3.60,
72,informatika,mahasiswa 72,3.35,
73,sistem informasi,mahasiswa 73,3.85,
74,sistem informasi,mahasiswa 74,3.51,
75,sistem informasi,mahasiswa 75,3.27,
76,informatika,mahasiswa 76,3.47,
77,informatika,mahasiswa 77,2.82,
78,sistem informasi,mahasiswa 78,3.13,
79,informatika,mahasiswa 79,3.53,
80,sistem informasi,mahasiswa 80,3.12,
81,sistem informasi,mahasiswa 81,3.48,
82,informatika,mahasiswa 82,3.27,
83,sistem informasi,mahasiswa 83,2.95,
84,informatika,mahasiswa 84,3.13,
85,informatika,mahasiswa 85,3.43,
86,informatika,mahasiswa 86,3.45,
87,informatika,mahasiswa 87,3.43,
88,informatika,mahasiswa 88,3.52,
89,informatika,mahasiswa 89,3.52,
90,sistem informasi,mahasiswa 90,3.27,
91,informatika,mahasiswa 91,3.79,
92,informatika,mahasiswa 92,3.20,
93,sistem informasi,mahasiswa 93,3.28,
94,sistem informasi,mahasiswa 94,3.78,
95,informatika,mahasiswa 95,3.69,
96,sistem informasi,mahasiswa 96,3.57,
97,sistem informasi,mahasiswa 97,2.91,
98,informatika,mahasiswa 98,3.81,
99,informatika,mahasiswa 99,3.59,
100,sistem informasi,mahasiswa 100,3.90,
